smiles,D,P,EG,r0
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,7.612,5.53615246661,8.53581865554,1.75
O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c1,7.404,5.50044155064,8.41360887516,1.807
CC(=O)c1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],6.774,5.26527751247,8.26023429161,1.645
Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(O)c1[N+](=O)[O-],6.747,5.25540986554,8.29554851623,1.639
COc1c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c(Cl)c1[N+](=O)[O-],7.253,5.4629839881,8.31188955823,1.819
O=[N+]([O-])c1cc([N+](=O)[O-])c(CCO)c([N+](=O)[O-])c1,6.774,5.26320818943,8.311152548,1.639
O=C(OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,7.75,5.59098698051,8.55852705491,1.806
[N-]=[N+]=Nc1c([N+](=O)[O-])cc([N+](=O)[O-])cc1[N+](=O)[O-],7.743,5.57291419945,8.63444275147,1.758
Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],6.936,5.3062855362,8.3797685155,1.629
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],8.889,5.90017128866,8.96175079933,1.921
O=[N+]([O-])c1ccc(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,7.777,5.57253418805,8.65067458279,1.732
N#[N+]c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],7.123,5.39362754635,8.37793112408,1.721
O=[N+]([O-])c1ccc(CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c([N+](=O)[O-])c1,7.44,5.46425544409,8.55294636112,1.677
